_r ( arcsec ),_RAJ2000 ( "h:m:s" ),_DEJ2000 ( "d:m:s" ),RAJ2000 ( deg ),DEJ2000 ( deg ),2MASS,Jmag ( mag ),e_Jmag ( mag ),Hmag ( mag ),e_Hmag ( mag ),Kmag ( mag ),e_Kmag ( mag ),Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
3.439,17 53 50.74104,-34 47 37.2840,268.461421,-34.79369,17535074-3447372,10.216,0.023,9.176,0.023,8.748,0.019,AAA,222,111,000,0,0
10.152,17 53 50.19552,-34 47 33.7956,268.459148,-34.792721,17535019-3447337,14.62,0.145,13.707,0.281,13.477,0.185,BDC,222,111,ccc,0,0
12.163,17 53 51.94896,-34 47 32.6400,268.466454,-34.7924,17535194-3447326,14.167,0.029,13.393,0.022,13.195,0.03,AAA,222,111,ccc,0,0
12.584,17 53 51.26736,-34 47 48.1452,268.463614,-34.796707,17535126-3447481,14.815,0.066,14.152,0.09,13.761,0.06,CCB,222,111,cpc,0,0
12.856,17 53 51.73080,-34 47 45.1788,268.465545,-34.795883,17535173-3447451,12.512,0.023,11.627,0.023,11.328,0.019,AAA,222,111,000,0,0
14.182,17 53 51.89040,-34 47 27.0096,268.46621,-34.790836,17535189-3447270,12.884,0.045,12.022,0.055,11.721,0.039,AEE,222,111,000,0,0
14.926,17 53 49.82784,-34 47 39.7824,268.457616,-34.794384,17534982-3447397,10.012,0.023,8.934,0.023,8.571,0.023,AAA,222,111,000,0,0
16.636,17 53 50.21760,-34 47 49.5600,268.45924,-34.7971,17535021-3447495,14.382,0.062,13.604,0.065,13.431,0.06,ABB,222,111,ccc,0,0
17.718,17 53 49.74648,-34 47 27.3120,268.457277,-34.79092,17534974-3447273,13.167,0.029,12.38,0.039,12.213,0.027,AAA,222,111,0dd,0,0
17.76,17 53 51.72144,-34 47 20.6232,268.465506,-34.789062,17535172-3447206,13.728,0.049,12.992,0.07,12.818,0.107,AAA,222,111,000,0,0
18.924,17 53 50.84064,-34 47 17.1780,268.461836,-34.788105,17535084-3447171,14.392,0.054,13.656,0.06,13.56,0.061,ABB,222,111,000,0,0
20.232,17 53 49.87872,-34 47 21.2172,268.457828,-34.789227,17534987-3447212,12.05,0.033,11.069,0.038,10.816,0.033,AAA,222,111,000,0,0
22.978,17 53 50.57088,-34 47 58.3620,268.460712,-34.799545,17535057-3447583,15.615,,14.71,,14.178,0.084,UUD,002,001,000,0,0
23.258,17 53 52.87680,-34 47 33.4644,268.47032,-34.792629,17535287-3447334,12.902,0.022,12.046,0.023,11.764,0.019,AAA,222,111,000,0,0
23.555,17 53 49.60728,-34 47 52.1412,268.456697,-34.797817,17534960-3447521,13.094,0.03,12.274,0.027,11.998,0.029,AAA,222,111,000,0,0
23.75,17 53 50.99952,-34 47 12.2496,268.462498,-34.786736,17535099-3447122,14.353,0.078,13.602,0.091,13.399,0.068,ABB,222,111,s0s,0,0
23.965,17 53 52.81464,-34 47 44.6424,268.470061,-34.795734,17535281-3447446,13.12,0.026,12.37,0.022,12.113,0.019,AAA,222,111,000,0,0
24.164,17 53 52.21656,-34 47 54.9564,268.467569,-34.798599,17535221-3447549,14.655,0.066,13.912,0.07,13.712,0.052,BCB,222,222,ccc,0,0
24.354,17 53 49.04280,-34 47 32.5572,268.454345,-34.792377,17534904-3447325,11.586,0.023,10.594,0.023,10.301,0.021,AAA,222,111,000,0,0
24.859,17 53 50.06616,-34 47 13.9632,268.458609,-34.787212,17535006-3447139,13.315,0.051,12.42,0.068,12.157,0.045,AAA,222,221,cc0,0,0
27.056,17 53 52.21656,-34 47 58.5276,268.467569,-34.799591,17535221-3447585,14.1,0.058,13.33,0.073,13.015,0.054,AAA,222,222,ccc,0,0
27.942,17 53 48.79128,-34 47 42.3636,268.453297,-34.795101,17534879-3447423,14.002,0.032,13.239,0.033,13.009,0.038,AAA,222,111,ccc,0,0
28.571,17 53 49.80960,-34 47 11.4792,268.45754,-34.786522,17534980-3447114,14.666,0.054,13.844,0.06,13.621,0.052,BCB,222,221,ccc,0,0
28.853,17 53 50.70816,-34 47 07.3716,268.461284,-34.785381,17535070-3447073,14.122,0.092,13.334,0.122,13.052,0.088,ABA,222,122,scc,0,0
29.416,17 53 49.79160,-34 48 01.3716,268.457465,-34.800381,17534979-3448013,12.622,0.023,11.715,0.022,11.433,0.019,AAA,222,111,000,0,0
30.447,17 53 48.75648,-34 47 48.7788,268.453152,-34.796883,17534875-3447487,12.914,0.039,12.008,0.029,11.738,0.03,AAA,222,111,000,0,0
31.333,17 53 51.94440,-34 47 06.9072,268.466435,-34.785252,17535194-3447069,13.825,0.03,12.29,,12.022,,AUU,266,200,c00,0,0
32.156,17 53 52.43064,-34 47 09.1032,268.468461,-34.785862,17535243-3447091,12.147,0.026,11.405,0.025,11.216,0.032,AAA,222,111,s0s,0,0
32.491,17 53 50.82504,-34 47 03.5808,268.461771,-34.784328,17535082-3447035,14.593,0.022,13.684,0.029,13.612,0.052,BBB,222,122,ccc,0,0
33.805,17 53 53.28240,-34 47 17.2320,268.47201,-34.78812,17535328-3447172,14.644,0.049,13.266,,13.204,,BUU,266,200,c00,0,0
34.346,17 53 51.92064,-34 47 03.5808,268.466336,-34.784328,17535192-3447035,13.469,0.099,12.085,,11.834,,AUU,266,200,c00,0,0
34.889,17 53 53.47560,-34 47 52.9512,268.472815,-34.798042,17535347-3447529,12.544,0.029,11.671,0.052,11.392,0.033,AAA,222,111,c00,0,0
35.361,17 53 48.61512,-34 47 55.6836,268.452563,-34.798801,17534861-3447556,12.102,0.047,11.163,0.063,10.825,0.044,EEE,222,111,000,0,0
36.872,17 53 52.40136,-34 47 03.4188,268.468339,-34.784283,17535240-3447034,13.436,0.04,12.733,0.047,12.467,0.036,AAA,222,111,cc0,0,0
37.209,17 53 53.43960,-34 47 14.0604,268.472665,-34.787239,17535343-3447140,13.995,0.054,12.919,,12.73,,AUU,266,200,c00,0,0
37.321,17 53 48.00048,-34 47 30.7464,268.450002,-34.791874,17534800-3447307,14.266,0.044,13.56,0.038,13.215,0.041,ABA,222,111,c00,0,0
37.346,17 53 53.88384,-34 47 47.5260,268.474516,-34.796535,17535388-3447475,14.178,0.07,13.445,0.081,13.253,0.068,AAA,222,222,ccc,0,0
37.832,17 53 51.70944,-34 48 12.8088,268.465456,-34.803558,17535170-3448128,15.163,,14.322,,14.094,0.073,UUC,002,001,000,0,0
