ApertureRA	ApertureDec
283.700354	-30.612954
283.742313	-30.612395
283.742312	-30.609895
283.805251	-30.612365
283.713587	-30.612399
283.689703	-30.611841
283.808155	-30.611807
283.730048	-30.611564
283.70455	-30.611009
283.790725	-30.61043
283.698418	-30.610453
283.67292	-30.610171
283.744894	-30.609894
283.735211	-30.609619
283.669693	-30.609336
283.72327	-30.60962
283.722624	-30.608509
283.777814	-30.608493
283.731015	-30.607953
283.702936	-30.60712
283.720042	-30.605732
283.793948	-30.605428
283.667113	-30.605447
283.657431	-30.604887
283.659046	-30.603221
283.709714	-30.603232
283.688091	-30.602396
283.668082	-30.602947
283.694869	-30.602675
283.695514	-30.600731
283.675182	-30.602394
283.785555	-30.601822
283.709714	-30.601287
283.707778	-30.600732
283.701323	-30.601009
283.676474	-30.600449
283.675184	-30.59906
283.693256	-30.597119
283.804269	-30.597643
283.669698	-30.597947
283.659049	-30.597666
283.702937	-30.59712
283.66389	-30.596557
283.752957	-30.595447
283.696161	-30.595175
283.788131	-30.594598
283.74263	-30.594339
283.685189	-30.593229
283.682931	-30.592951
283.718104	-30.592676
283.660665	-30.591833
283.791032	-30.590985
283.797808	-30.590703
283.782642	-30.590435
283.763926	-30.590721
283.723913	-30.590453
283.727139	-30.589898
283.72488	-30.587398
283.785222	-30.589322
283.666475	-30.589335
283.762957	-30.588499
283.717136	-30.587954
283.7465	-30.587949
283.68745	-30.587674
283.758761	-30.587112
283.800708	-30.585701
283.795546	-30.586538
283.760374	-30.586834
283.735528	-30.58573
283.779088	-30.585159
283.714554	-30.585176
283.680674	-30.584339
283.736173	-30.583229
283.765212	-30.58211
283.720685	-30.581565
283.720685	-30.579898
283.806189	-30.581531
283.800058	-30.580702
283.673577	-30.580726
283.785861	-30.580988
283.78457	-30.580434
283.769082	-30.579608
283.734881	-30.579341
283.709392	-30.578787
283.658091	-30.578499
283.741979	-30.578228
283.784568	-30.577934
283.749723	-30.577671
283.807475	-30.577085
283.737462	-30.576007
283.656479	-30.57572
283.654867	-30.573497
283.796181	-30.575427
283.794568	-30.574872
283.706166	-30.574898
283.75198	-30.574892
283.782953	-30.574601
283.709069	-30.574621
283.692615	-30.572953
283.715199	-30.573232
283.750366	-30.572393
283.665837	-30.572946
283.664224	-30.572112
283.738105	-30.570451
283.752946	-30.570447
283.758107	-30.569335
283.750364	-30.568782
283.753268	-30.568781
283.794885	-30.568483
283.670679	-30.567948
283.72391	-30.567398
283.804562	-30.567088
283.70423	-30.566565
283.781979	-30.566824
283.781978	-30.565435
283.67197	-30.566004
283.758428	-30.566279
283.759718	-30.565445
283.762621	-30.563777
283.65455	-30.564053
283.713909	-30.563232
283.72649	-30.56212
283.792943	-30.561262
283.667778	-30.561836
283.666489	-30.559613
283.771975	-30.561273
283.770684	-30.560996
283.714876	-30.561565
283.802621	-30.561256
283.76391	-30.560999
283.786167	-30.558488
283.708747	-30.55851
283.80165	-30.558201
283.754876	-30.558225
283.723263	-30.557953
283.765521	-30.557665
283.709392	-30.556843
283.682941	-30.557118
283.651006	-30.556829
