Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,283.700354,-30.612954,283.700286,-30.612869,346,13,346.210,13.305,1,+1362.28,1.0000,+42.5906,D.N.,+12.0559,+0.0339,0,F,435.199402,434.489653,435.281501,435.121704,435.283497,0.000000,1.319839,0.901144,5,10,10,0,15,20,315.84,0.00,415,3.33,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
2,283.742313,-30.612395,283.742312,-30.612396,216,15,216.003,14.995,1,+808.367,1.0000,+38.9182,D.N.,+12.6226,+0.0523,0,F,434.873550,435.336129,434.887821,435.097504,434.889277,0.000000,1.126370,1.149388,5,10,10,0,15,20,315.84,0.00,456,4.34,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
3,283.742312,-30.609895,283.742290,-30.612396,216,24,216.070,14.996,1,+796.695,1.0000,+38.7679,D.N.,+12.6384,+0.0528,0,F,434.873550,435.336129,434.887821,435.134460,434.889277,0.000000,1.126370,1.149388,5,10,10,0,15,20,315.84,0.00,456,12.65,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
4,283.805251,-30.612365,283.805068,-30.612656,21,15,21.568,13.953,1,+354.155,1.0000,+32.0132,D.N.,+13.5186,+0.0981,0,F,435.154068,434.971915,435.378440,434.951782,435.381189,0.000000,1.549401,1.072974,5,10,10,0,15,20,315.84,0.00,374,3.17,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
5,283.713587,-30.612399,283.713639,-30.612326,305,15,304.841,15.262,1,+226.772,1.0000,+24.7135,D.N.,+14.0026,+0.1183,0,F,434.957657,434.952509,435.017229,435.143433,435.018092,0.000000,0.867454,0.845972,5,10,10,0,15,20,315.84,0.00,452,2.94,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
6,283.689703,-30.611841,283.689644,-30.611911,379,17,379.183,16.747,1,+502.499,1.0000,+31.1574,D.N.,+13.1388,+0.0673,0,F,435.264526,435.595328,435.241170,435.147705,435.242204,0.000000,0.949421,0.955441,5,10,10,0,15,20,315.84,0.00,506,2.99,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
7,283.808155,-30.611807,283.808004,-30.611731,12,17,12.468,17.275,1,+335.878,1.0000,+29.2906,D.N.,+13.5761,+0.0947,0,F,435.013870,434.986905,435.111726,434.947021,435.112974,0.000000,1.044040,0.966853,5,10,10,0,15,20,284.68,0.00,296,3.15,2,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
8,283.730048,-30.611564,283.730073,-30.611486,254,18,253.921,18.279,1,+191.001,1.0000,+29.5475,D.N.,+14.1890,+0.1680,0,F,435.168427,434.519226,435.322800,435.190613,435.324919,0.000000,1.359527,1.156109,5,10,10,0,15,20,315.84,0.00,513,3.18,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
9,283.704550,-30.611009,283.704435,-30.611036,333,20,333.356,19.904,1,+760.513,1.0000,+36.3024,D.N.,+12.6888,+0.0518,0,F,435.230606,434.925694,435.681852,435.134674,435.688763,0.000000,2.456123,1.058746,5,10,10,0,15,20,315.84,0.00,550,2.98,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
10,283.790725,-30.610430,283.790689,-30.610465,66,22,66.112,21.873,1,+226.477,1.0000,+29.8108,D.N.,+14.0040,+0.1429,0,F,435.378876,434.704068,435.498682,435.051361,435.500440,0.000000,1.238499,1.155195,5,10,10,0,15,20,315.84,0.00,553,3.56,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
