Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,268.464315,-34.979103,268.464106,-34.979022,246,12,246.618,12.292,1,+6103.35,1.0000,+253.685,D.N.,+11.4835,+0.0451,0,F,157.137283,154.594241,163.818103,154.093658,164.800568,0.000000,17.990997,10.123633,5,10,10,0,15,20,315.84,0.00,395,3.15,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
2,268.463976,-34.977436,268.464054,-34.979025,247,18,246.772,12.279,1,+6174.73,1.0000,+253.825,D.N.,+11.4709,+0.0446,0,F,157.137283,154.594241,163.818103,154.020935,164.800568,0.000000,17.990997,10.123633,5,10,10,0,15,20,315.84,0.00,395,16.44,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
3,268.428380,-34.978549,268.427935,-34.976970,352,14,353.313,19.684,1,+6293.21,1.0000,+136.284,D.N.,+11.4502,+0.0235,0,F,155.386307,152.605603,157.476101,153.609238,157.601404,0.000000,6.289159,4.951308,5,10,10,0,15,20,315.84,0.00,539,3.24,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
4,268.428041,-34.976604,268.427901,-34.976973,353,21,353.411,19.675,1,+6309.86,1.0000,+136.345,D.N.,+11.4474,+0.0235,0,F,155.386307,152.605603,157.476101,153.561783,157.601404,0.000000,6.289159,4.951308,5,10,10,0,15,20,315.84,0.00,539,3.24,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
5,268.421599,-34.979381,268.419800,-34.979199,372,11,377.307,11.655,1,+6343.83,1.0000,+118.009,D.N.,+11.4415,+0.0202,0,F,154.056427,152.692827,155.372799,153.780365,155.447752,0.000000,4.832815,3.652429,5,10,10,0,15,20,315.84,0.00,395,17.29,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
6,268.419904,-34.979103,268.419800,-34.979205,377,12,377.307,11.633,1,+6336.14,1.0000,+117.977,D.N.,+11.4428,+0.0202,0,F,154.056427,152.692827,155.372799,153.806168,155.447752,0.000000,4.832815,3.652429,5,10,10,0,15,20,315.84,0.00,395,3.15,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
7,268.380239,-34.978535,268.380002,-34.978527,494,14,494.700,14.029,1,+2172.52,1.0000,+91.7693,D.N.,+12.6050,+0.0459,0,F,153.745865,151.745401,155.192479,153.762772,155.261889,0.000000,4.649218,3.167679,5,10,10,0,15,20,315.84,0.00,325,3.17,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
8,268.509065,-34.978252,268.508477,-34.978278,114,15,115.735,14.910,1,+3077.50,1.0000,+181.893,D.N.,+12.2269,+0.0642,0,F,155.313126,152.871841,162.295685,153.936295,163.972369,0.000000,23.415393,7.454434,5,10,10,0,15,20,315.84,0.00,445,4.19,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
9,268.539575,-34.977398,268.539078,-34.977404,24,18,25.466,17.981,1,+2740.78,1.0000,+132.475,D.N.,+12.3527,+0.0525,0,F,155.701591,153.362288,159.610983,153.882339,160.033974,0.000000,11.639315,5.376950,5,10,10,0,15,20,315.84,0.00,508,3.09,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
10,268.531099,-34.976849,268.530858,-34.976880,49,20,49.713,19.889,1,+7655.22,1.0000,+126.195,D.N.,+11.2375,+0.0179,0,F,155.024872,152.689159,157.060554,153.973679,157.216511,0.000000,7.007424,4.071526,5,10,10,0,15,20,315.84,0.00,545,3.23,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
