# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Mon Apr 26 16:48:11 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system:  2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag
0.00024632 -1.80000 8.30103 0.0900000036 1.0816895962    0.090 -2.796  3.5338  5.275    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.759 9.908 9.488 9.367
0.00024632 -1.80000 8.30103 0.0926015228 1.1061528921    0.093 -2.769  3.5372  5.275    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.694 9.854 9.426 9.302
0.00024632 -1.80000 8.30103 0.0977892429 1.1523692608    0.098 -2.711  3.5450  5.272    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.548 9.735 9.288 9.158
0.00024632 -1.80000 8.30103 0.1000000015 1.1711064577    0.100 -2.687  3.5487  5.271    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.486 9.685 9.231 9.098
0.00024632 -1.80000 8.30103 0.1000161469 1.1712412834    0.100 -2.686  3.5487  5.271    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.683e-04 11.486 9.685 9.230 9.098
0.00024632 -1.80000 8.30103 0.1089057773 1.2414668798    0.109 -2.604  3.5575  5.261    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.279 9.507 9.035 8.896
0.00024632 -1.80000 8.30103 0.1199999973 1.3193154335    0.120 -2.496  3.5695  5.242    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.009 9.276 8.784 8.636
0.00024632 -1.80000 8.30103 0.1243382022 1.3472529650    0.124 -2.462  3.5723  5.236    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.99e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.925 9.202 8.706 8.555
0.00024632 -1.80000 8.30103 0.1400000006 1.4384527206    0.140 -2.338  3.5827  5.205    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.681e-04 10.615 8.925 8.415 8.256
0.00024632 -1.80000 8.30103 0.1599999964 1.5372931957    0.160 -2.209  3.5919  5.171    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-16      0.00 7.506e-01 2.492e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.294 8.632 8.114 7.948
